ST 2065-2 Spectral responsivities of Pi_APD at 2 nm intervals,,,
,,,
,,,
,,,
Wavelength,Pi_APD,Pi_APD,Pi_APD
 nm,Red,Green,Blue
360,0,0,0
362,0,0,0
364,0,0,0
366,0,0,0
368,0,0,0.0001
370,0,0,0.0001
372,0,0.0001,0.0003
374,0.0002,0.0001,0.0005
376,0.0005,0.0002,0.0007
378,0.0009,0.0002,0.001
380,0.0013,0.0002,0.0012
382,0.0013,0.0002,0.0013
384,0.001,0.0001,0.0013
386,0.0006,0.0001,0.0014
388,0.0002,0,0.0016
390,0,0,0.002
392,0,0,0.0028
394,0,0,0.0037
396,0,0,0.005
398,0,0,0.0065
400,0,0,0.0083
402,0,0,0.0107
404,0,0,0.0138
406,0,0,0.0175
408,0,0,0.0219
410,0,0,0.0268
412,0,0,0.0325
414,0,0,0.0392
416,0,0,0.0471
418,0,0,0.0562
420,0,0,0.0667
422,0,0,0.079
424,0,0,0.0935
426,0,0,0.1095
428,0,0,0.1265
430,0,0,0.1434
432,0,0,0.1591
434,0,0,0.1738
436,0,0,0.1891
438,0,0,0.2068
440,0,0,0.229
442,0,0.0003,0.2557
444,0,0.001,0.2866
446,0,0.002,0.3231
448,0,0.003,0.367
450,0,0.0039,0.4204
452,0,0.0046,0.4863
454,0,0.0052,0.5635
456,0,0.0058,0.6478
458,0,0.0064,0.7344
460,0,0.0071,0.8174
462,0,0.0079,0.8952
464,0,0.0089,0.9611
466,0,0.0099,1
468,0,0.0108,0.9959
470,0,0.0117,0.9339
472,0,0.0126,0.8125
474,0,0.0134,0.6538
476,0,0.0142,0.4825
478,0,0.015,0.324
480,0,0.0158,0.2028
482,0,0.0163,0.123
484,0,0.0165,0.071
486,0,0.0166,0.0407
488,0,0.0167,0.0243
490,0,0.0174,0.015
492,0,0.0184,0.0087
494,0,0.0196,0.0051
496,0,0.0211,0.0033
498,0,0.023,0.0025
500,0,0.0256,0.002
502,0,0.0296,0.0014
504,0,0.0356,0.0009
506,0,0.043,0.0004
508,0,0.0514,0.0001
510,0,0.06,0
512,0,0.069,0
514,0,0.0787,0
516,0,0.0888,0
518,0,0.099,0
520,0,0.1095,0
522,0,0.1201,0
524,0,0.131,0
526,0,0.1427,0
528,0,0.1556,0
530,0,0.1704,0
532,0,0.1829,0
534,0,0.1944,0
536,0,0.2151,0
538,0,0.2556,0
540,0,0.3269,0
542,0,0.4552,0
544,0,0.6303,0
546,0,0.8082,0
548,0,0.9457,0
550,0,1,0
552,0,0.9408,0
554,0,0.7932,0
556,0,0.5983,0
558,0,0.4023,0
560,0,0.2559,0
562,0,0.1744,0
564,0,0.1285,0
566,0,0.1051,0
568,0,0.0907,0
570,0,0.0718,0
572,0.0023,0.0496,0
574,0.0075,0.033,0
576,0.0133,0.0211,0
578,0.0177,0.0129,0
580,0.0197,0.0071,0
582,0.0194,0.0033,0
584,0.0181,0.0013,0
586,0.0163,0.0003,0
588,0.0146,0,0
590,0.0135,0,0
592,0.0128,0,0
594,0.0125,0,0
596,0.0125,0,0
598,0.0128,0,0
600,0.0134,0,0
602,0.0149,0,0
604,0.0176,0,0
606,0.0214,0,0
608,0.0262,0,0
610,0.0318,0,0
612,0.0383,0,0
614,0.0461,0,0
616,0.0553,0,0
618,0.0655,0,0
620,0.0766,0,0
622,0.089,0,0
624,0.1028,0,0
626,0.1175,0,0
628,0.1323,0,0
630,0.1464,0,0
632,0.1597,0,0
634,0.1724,0,0
636,0.1843,0,0
638,0.1947,0,0
640,0.2033,0,0
642,0.2094,0,0
644,0.2138,0,0
646,0.2174,0,0
648,0.2215,0,0
650,0.2275,0,0
652,0.2348,0,0
654,0.2432,0,0
656,0.2544,0,0
658,0.2702,0,0
660,0.2923,0,0
662,0.3213,0,0
664,0.356,0,0
666,0.3954,0,0
668,0.4386,0,0
670,0.4845,0,0
672,0.5337,0,0
674,0.5867,0,0
676,0.6418,0,0
678,0.6977,0,0
680,0.7527,0,0
682,0.8112,0,0
684,0.8727,0,0
686,0.9289,0,0
688,0.9721,0,0
690,0.995,0,0
692,1,0,0
694,0.9928,0,0
696,0.9714,0,0
698,0.9336,0,0
700,0.8776,0,0
702,0.7997,0,0
704,0.7045,0,0
706,0.6028,0,0
708,0.5049,0,0
710,0.4203,0,0
712,0.3498,0,0
714,0.2876,0,0
716,0.2324,0,0
718,0.1834,0,0
720,0.1396,0,0
722,0.0984,0,0
724,0.0603,0,0
726,0.0289,0,0
728,0.0077,0,0
730,0,0,0
